('25.3', '80', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('20.2', '19', '1010.5', 'pywierden')
('4.2', '0', '1008.0', 'pygarage')
('25.3', '77', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.8', '16', '1010.5', 'pywierden')
('4.7', '0', '1008.5', 'pygarage')
('25.3', '77', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('5.0', '0', '1008.0', 'pygarage')
('19.8', '11', '1010.5', 'pywierden')
('25.3', '74', '1006.0', 'pysaxion')
('-4.5', '0', '1005.5', 'pygronau')
('5.0', '0', '1008.0', 'pygarage')
('19.7', '7', '1010.5', 'pywierden')
('25.4', '73', '1006.0', 'pysaxion')
('-4.5', '0', '1006.0', 'pygronau')
('5.9', '0', '1008.5', 'pygarage')
('19.8', '5', '1010.5', 'pywierden')
('25.3', '73', '1006.0', 'pysaxion')
('-4.6', '0', '1006.0', 'pygronau')
('6.1', '0', '1008.5', 'pygarage')
('19.7', '5', '1010.5', 'pywierden')
('6.5', '0', '1008.5', 'pygarage')
('25.2', '72', '1006.0', 'pysaxion')
('-4.3', '0', '1005.5', 'pygronau')
('19.9', '4', '1010.5', 'pywierden')
('6.1', '0', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.9', '4', '1010.5', 'pywierden')
('6.2', '0', '1008.0', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('20.0', '4', '1010.5', 'pywierden')
('6.2', '0', '1008.0', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('6.8', '0', '1008.0', 'pygarage')
('25.3', '71', '1006.0', 'pysaxion')
('-4.5', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('7.2', '0', '1008.0', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('20.0', '3', '1010.5', 'pywierden')
('6.7', '0', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('20.0', '3', '1010.5', 'pywierden')
('6.1', '0', '1008.5', 'pygarage')
('25.3', '71', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('5.3', '0', '1008.0', 'pygarage')
('25.3', '71', '1006.0', 'pysaxion')
('-4.5', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('5.4', '0', '1008.0', 'pygarage')
('25.3', '71', '1006.0', 'pysaxion')
('-4.6', '0', '1006.0', 'pygronau')
('20.0', '3', '1010.5', 'pywierden')
('5.6', '0', '1008.0', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('6.0', '0', '1008.5', 'pygarage')
('25.2', '72', '1006.0', 'pysaxion')
('-4.5', '0', '1006.0', 'pygronau')
('20.0', '3', '1010.5', 'pywierden')
('6.0', '0', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('20.0', '3', '1010.5', 'pywierden')
('6.3', '0', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.9', '3', '1010.5', 'pywierden')
('6.1', '0', '1008.5', 'pygarage')
('25.2', '72', '1006.0', 'pysaxion')
('-4.2', '0', '1006.0', 'pygronau')
('19.8', '3', '1010.5', 'pywierden')
('5.8', '1', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('19.6', '3', '1010.5', 'pywierden')
('5.8', '0', '1008.5', 'pygarage')
('25.3', '72', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('6.0', '0', '1008.5', 'pygarage')
('19.5', '3', '1010.5', 'pywierden')
('25.3', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('6.5', '0', '1008.5', 'pygarage')
('19.6', '3', '1010.5', 'pywierden')
('25.3', '0', '1006.0', 'pysaxion')
('-4.4', '0', '1006.0', 'pygronau')
('6.0', '0', '1008.5', 'pygarage')
('19.7', '4', '1010.5', 'pywierden')
('25.3', '0', '1006.0', 'pysaxion')
('-4.3', '0', '1006.0', 'pygronau')
('5.0', '0', '1008.5', 'pygarage')
('19.6', '4', '1010.5', 'pywierden')
